MOF Identifier v1 (SMILES + Metadata),Largest Cavity Diameter (Ã…),Pore Limiting Diameter (Ã…),Largest Free Path Diameter (Ã…),Crystal Density (g/cm3),Pore Volume (A3),Void Fraction,Pore Volume (cm3/g),Metal Types,Heat Capacity at 300 K (J/g/K),Heat Capacity Std. Dev. at 300 K (J/g/K),Heat Capacity at 350 K (J/g/K),Heat Capacity Std. Dev. at 350 K (J/g/K),Heat Capacity at 400 K (J/g/K),Heat Capacity Std. Dev. at 400 K (J/g/K),Heat Capacity Temperature Coefficient (J/g/K/K),Heat Capacity Intercept (J/g/K),Number of Atoms,Thermal Stability (â„ƒ),Solvent Stability,Water Stability,KH Classes
O=C1Nc2cc(ccc2-c2c(N1)cc(cc2)C(=O)[O-])C(=O)[O-].[Zn][Zn],10.47983,6.30167,10.43971,0.652027,5491.93,0.7454,1.1432,Zn,0.839143923,0.025326073,0.942949673,0.035506286,1.010271916,0.05470914,0.00171128,0.331840527,248,337.3,0.5222111,0.55,weak
O=C1Nc2cc(ccc2-c2c(N1)cc(cc2)C(=O)[O-])C(=O)[O-].[Zn][Zn].n1ccc(cc1)CCc1ccncc1,8.64973,6.50826,8.64973,0.845633,2312.35,0.6488,0.767236,Zn,0.891609488,0.030518522,1.020932511,0.046181804,1.087883676,0.061058653,0.001962742,0.313182235,176,323.9,0.755684,0.568968519,weak
[N]1[CH]C=C(C=C1)c1ccc(cc1)C(=C(c1ccc(cc1)C1=C[CH][N]C=C1)c1ccc(cc1)C1=C[CH][N]C=C1)c1ccc(cc1)C1=C[CH][N]C=C1.[O-]C(=O)c1cccc(c1)C(=O)[O-].[Zn],7.98999,5.66524,7.98999,0.867685,3841.6,0.6084,0.701176,Zn,0.9204391,0.041993292,1.032843084,0.076477542,1.085437649,0.090316683,0.001649985,0.435411689,348,unknown,unknown,unknown,weak
[Cd].[O-]C(=O)c1ccc(c2c1cccc2)C(=O)[O-].n1ccc(cc1)c1ccc(cc1)C(=C(c1ccc(cc1)c1ccncc1)c1ccc(cc1)c1ccncc1)c1ccc(cc1)c1ccncc1,13.19619,10.16926,13.18151,0.888712,6129.46,0.6338,0.713167,Cd,0.857492128,0.038944966,0.953046195,0.074411616,1.009324848,0.081066705,0.001518327,0.408539869,512,304.6,0.3882417,0.87,weak
[Cd].[N]1C=C[C](C=C1)c1ccc(cc1)C(=C(c1ccc(cc1)c1ccncc1)c1ccc(cc1)[C]1C=C[N]C=C1)c1ccc(cc1)c1ccncc1.[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-].n1ccc(cc1)c1ccc(cc1)C(=C(c1ccc(cc1)c1ccncc1)c1ccc(cc1)c1ccncc1)c1ccc(cc1)c1ccncc1,11.83106,10.92247,11.83106,0.700989,8626.73,0.7036,1.00373,Cd,0.841450517,0.042529874,0.935059305,0.075699261,0.987036597,0.082817574,0.001455861,0.411630856,512,347.9,0.5486336,0.827692308,weak
[Fe][O]([Fe])[Fe].[O-]C(=O)c1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)C(=O)[O-],6.86695,4.28377,6.86695,1.17018,2209.99,0.575,0.491379,Fe,0.852315278,0.016101488,0.966888767,0.030079699,1.028864162,0.041619452,0.001765489,0.331434975,218,353.6,0.9402907,0.648,weak
[Co][O]([Co])[Co].[O-]C(=O)c1ccc(cc1)C(=O)[O-].n1ccc(cc1)C1=NC(=[N]=C([N]1)c1ccncc1)c1ccncc1,8.93138,4.66988,8.7274,0.872025,2493.58,0.6564,0.75273,Co,0.875254816,0.028567313,0.976702598,0.055947283,1.029241767,0.069121111,0.00153987,0.4214454,176,319.6,0.8154364,0.63,weak
[Co].[O-]C(=O)c1cc(OCc2ccncc2)cc(c1)C(=O)[O-].n1ccc(cc1)OCC(COc1ccncc1)(COc1ccncc1)COc1ccncc1,9.68124,5.2532,9.66304,1.03176,6327.11,0.5568,0.539658,Co,0.941612166,0.031451379,1.060830708,0.042962104,1.1288977,0.054623218,0.001872855,0.388280823,708,368.5,0.9441674,0.88,weak
unknown,6.41846,3.35195,6.41846,1.28977,1139.31,0.5522,0.428138,Cd,0.741418192,0.024052247,0.848231625,0.036127045,0.900724331,0.045499932,0.001593061,0.272553229,120,431.6,0.7023022,0.7,unknown
[O-]C(=O)c1ccc(cc1)c1cc2c(cc1c1ccc(cc1)C(=O)[O-])c1cc(c3ccc(cc3)C(=O)[O-])c(cc1c1c2cc(c2ccc(cc2)C(=O)[O-])c(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,12.90854,5.36266,12.90854,0.847475,23832.1,0.6834,0.806395,Zr,0.808164269,0.024118784,0.886940336,0.043864487,0.94578534,0.052800946,0.001376211,0.398622899,1432,372.4,0.77067286,0.96,none
