MOF Identifier v1 (SMILES + Metadata),Largest Cavity Diameter (Ã…),Pore Limiting Diameter (Ã…),Largest Free Path Diameter (Ã…),Crystal Density (g/cm3),Pore Volume (A3),Void Fraction,Pore Volume (cm3/g),Metal Types,Heat Capacity at 300 K (J/g/K),Heat Capacity Std. Dev. at 300 K (J/g/K),Heat Capacity at 350 K (J/g/K),Heat Capacity Std. Dev. at 350 K (J/g/K),Heat Capacity at 400 K (J/g/K),Heat Capacity Std. Dev. at 400 K (J/g/K),Heat Capacity Temperature Coefficient (J/g/K/K),Heat Capacity Intercept (J/g/K),Number of Atoms,Thermal Stability (â„ƒ),Solvent Stability,Water Stability,KH Classes
[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[O-]C=O.[Sc][O]([Sc])[Sc],20.34171,19.92491,20.34171,0.714532,10343.3,0.6954,0.973224,Sc,0.936216273,0.030278669,1.053969638,0.048650714,1.112817525,0.066274352,0.001766013,0.4162301,624,487.5,0.89362365,0.47,unknown
[O-]C(=O)c1ccc(cc1)N(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[Zn].n1ccc(cc1)C=Cc1ccncc1,6.90883,3.90614,6.90883,1.2956,2073.17,0.4784,0.369251,Zn,0.869470958,0.033729701,0.977704996,0.06313685,1.033241464,0.077918492,0.001637705,0.386942368,321,356.3,0.6367506,0.688571429,strong
[O-]C(=O)c1ccc2c(c1)c1cc(ccc1n2Cc1ccc(cc1)Cn1c2ccc(cc2c2c1ccc(c2)C(=O)[O-])C(=O)[O-])C(=O)[O-].[Zn].n1ccc(cc1)c1ccncc1,4.50717,2.85634,4.50658,1.28747,606.887,0.4474,0.347504,Zn,0.913964677,0.037728322,1.017885133,0.072295063,1.075042087,0.082324322,0.001610774,0.438526361,108,341.9,0.2371059,0.67,weak
[O-]C(=O)c1ccc2c(c1)c1cc(ccc1n2Cc1ccc(cc1)Cn1c2ccc(cc2c2c1ccc(c2)C(=O)[O-])C(=O)[O-])C(=O)[O-].[Zn].n1ccc(cc1)C=Cc1ccncc1,6.06834,2.89795,6.06834,1.19759,722.386,0.472,0.394124,Zn,0.925613171,0.040258235,1.027374303,0.076400323,1.083861709,0.085547442,0.001582485,0.458413179,116,348.7,0.32424647,0.66,weak
Nc1cncc(c1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cu][O]([Cu])([Cu])[Cu],8.75331,4.94575,8.74166,1.26535,2896.7,0.5312,0.419806,Cu,0.821563191,0.022088577,0.921421552,0.037071536,0.985000155,0.050122725,0.00163437,0.337298923,344,272.9,0.7203518,0.688,weak
[Cd].[O-]C(=O)c1ccc(cc1)C(=O)[O-].n1ccc(cc1)c1nnc(nn1)c1ccncc1,8.038,6.46124,8.03265,0.756721,3226.19,0.7168,0.947245,Cd,0.799950061,0.02640403,0.897181378,0.049081087,0.956550077,0.063214091,0.001566,0.336460449,172,322.4,0.66692054,0.4905,weak
unknown,5.5074,2.76255,5.43762,1.44002,2181.62,0.4612,0.320274,Cd,0.802835747,0.02499641,0.899340693,0.048960813,0.950305067,0.059556665,0.001474693,0.368017881,344,413.6,0.8368137,0.620314685,weak
[Cd].[O-]C(=O)c1ccc(cc1)C(=O)[O-].n1ccc(cc1)c1nnc(nn1)c1ccncc1,18.07452,14.42961,18.07452,0.580835,6853.54,0.7792,1.34152,Cd,0.814901911,0.029667165,0.904006404,0.04823623,0.973001757,0.064800177,0.001580998,0.343953899,258,322.6,0.85169697,0.4305,weak
[O-]C(=O)c1ccc(cc1)n1nc(c(n1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[Zn].[Zn]O[Zn].[Zn][O]([Zn])[Zn],7.03598,4.41271,5.58294,1.23569,6284.51,0.5326,0.431014,Zn,0.82613149,0.022997873,0.931263755,0.046523935,0.97891361,0.057998777,0.001527821,0.377365535,740,317.7,0.81166637,0.39,unknown
[O-]C(=O)c1ccc(cc1)c1nn(nc1c1ccc(cc1)C(=O)[O-])c1ccccc1.[Zn][Zn],5.85166,4.7117,5.85166,1.17555,1286.05,0.5072,0.431459,Zn,0.875550145,0.033574776,0.99062597,0.066875533,1.036334975,0.076833818,0.001607848,0.404756789,172,412.6,0.9074473,0.71,strong
[Co].[O-]C(=O)c1ccncc1.[O]NC(=O)c1ccc(cc1)C(=O)N[O],6.17036,4.44152,6.17036,0.982385,2414.57,0.6144,0.625417,Co,0.867666236,0.028801431,0.974327328,0.044688275,1.034081753,0.061036948,0.001664155,0.376237463,204,322,0.91847724,0.323552632,weak
unknown,9.3401,6.44485,9.3041,0.832399,2614.05,0.6518,0.783038,Zn,0.882083559,0.028878855,0.994461509,0.057964658,1.043785447,0.07268561,0.001617019,0.407486897,187,381.3,0.43249202,0.74,strong
O1[Mo]2[Mo]1O2.[O-]C(=O)c1ccc(cc1)C1=C2C=CC(=N2)C(=c2ccc(=C(C3=NC(=C(c4[nH]c1cc4)c1ccc(cc1)C(=O)[O-])C=C3)c1ccc(cc1)C(=O)[O-])[nH]2)c1ccc(cc1)C(=O)[O-],6.98637,5.74587,6.98078,1.00653,4040.22,0.6058,0.601869,Mo,0.827193763,0.026688981,0.926792299,0.051605012,0.98318834,0.066327096,0.001559946,0.366410447,360,252,0.9122694,0.56,none
[O-]C(=O)c1cc(ccc1C(=O)[O-])Oc1c(cccc1C(=O)[O-])C(=O)[O-].[Pr],5.93521,5.05929,5.9277,1.35222,1277.21,0.5382,0.398012,Pr,0.705548555,0.012626245,0.785878291,0.028616635,0.831751331,0.034733229,0.001262028,0.332683013,128,376.2,0.8956386,0.89962963,none
[Eu].[O-]C(=O)c1cc(ccc1C(=O)[O-])Oc1c(cccc1C(=O)[O-])C(=O)[O-],6.02576,5.18239,6.02576,1.36232,1333.38,0.5534,0.406219,Eu,0.690001706,0.012226293,0.771485205,0.027121283,0.816781378,0.033451081,0.001267797,0.315693913,128,393.9,0.8687581,0.84962963,none
[Nd].[O-]C(=O)c1cc(ccc1C(=O)[O-])Oc1c(cccc1C(=O)[O-])C(=O)[O-],6.02071,5.15652,6.01267,1.32918,1331.16,0.5476,0.411982,Nd,0.702479522,0.012007701,0.784220947,0.027355747,0.829105198,0.033772574,0.001266257,0.328745351,128,376.8,0.8901563,0.87962963,none
[O-]C(=O)c1cc(ccc1C(=O)[O-])Oc1c(cccc1C(=O)[O-])C(=O)[O-].[OH2][Ce],6.02822,5.14433,6.02611,1.36058,1293.61,0.5296,0.389244,Ce,0.738124522,0.015901119,0.823967922,0.035918988,0.869411553,0.043918134,0.00131287,0.350996725,140,387.5,0.6639446,0.81962963,none
[O-]C(=O)c1cc(ccc1C(=O)[O-])Oc1c(cccc1C(=O)[O-])C(=O)[O-].[Sm],6.01576,5.15845,6.01576,1.35032,1348.13,0.5564,0.412049,Sm,0.695048213,0.012072003,0.776457171,0.027051032,0.822273366,0.033035415,0.001272252,0.319304883,128,379,0.8795665,0.84962963,none
[La].[O-]C(=O)c1cc(ccc1C(=O)[O-])Oc1c(cccc1C(=O)[O-])C(=O)[O-],6.06892,5.17463,6.06892,1.2855,1372.24,0.552,0.429405,La,0.717707715,0.013316301,0.802675412,0.02760601,0.84700029,0.034451038,0.001292926,0.336603793,128,401.5,0.89985096,0.91962963,none
[O-]C(=O)c1ccc(s1)C(=O)[O-].[O]P(=O)[O].[Zn],9.27985,8.95188,9.27985,1.08756,3771.83,0.67,0.61606,Zn,0.705776842,0.010249325,0.764077038,0.013028346,0.810345288,0.014443272,0.001045684,0.394076826,200,382.7,0.24640116,0.5,weak
[Cu][Cu].[O-]C(=O)c1ccc(cc1)SSc1ccc(cc1)C(=O)[O-],6.62833,5.49766,6.30899,1.05286,2408.51,0.5694,0.540811,Cu,0.854967743,0.035680169,0.954907976,0.057855161,1.022343015,0.068581286,0.001673753,0.358259459,240,254.7,0.9139626,0.727032967,none
[Cu][Cu].[O-]C(=O)c1ccc(cc1)SSc1ccc(cc1)C(=O)[O-].n1ccc(cc1)c1ccncc1,6.26196,4.61074,6.22835,0.989302,1810.98,0.6048,0.61134,Cu,0.850462994,0.030960168,0.95886768,0.048061598,1.019440026,0.064228882,0.00168977,0.351503961,156,313.4,0.7913401,0.574688139,none
[Cu].[O-]C(=O)c1ccc(cc1)c1c(C)[n-][nH]c1C,5.64455,3.80324,5.62745,1.13227,1431.6,0.494,0.43629,Cu,0.990150356,0.043064882,1.102739177,0.071285485,1.206895205,0.064420668,0.002167448,0.341321278,220,357.8,0.19336998,0.924893268,weak
[Cu][Cu].[O-][n+]1cc(ccc1c1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-],9.20584,4.05224,9.20584,1.05888,2070.66,0.605,0.571357,Cu,0.847335754,0.015695641,0.953734281,0.027628019,1.01279382,0.037625599,0.001654581,0.358851385,174,292.3,0.94297564,0.714751486,strong
[Eu]12[O]3[Eu]4[O]2[Eu]2[O]1[Eu]3[O]42.[O-]C(=O)c1ccc(cc1)c1ccc(nc1)C(=O)[O-],7.66896,7.55167,7.66896,1.43096,2089.93,0.5502,0.384498,Eu,0.66976581,0.020276435,0.729818795,0.039048209,0.772572854,0.04456024,0.00102807,0.364227835,216,412.3,0.84816885,0.73,weak
[Eu].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])N1C(=O)c2ccc3c4c2c(C1=O)ccc4C(=O)N(C3=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],8.26934,5.41817,8.26934,1.08296,2056.15,0.6584,0.607966,Eu,0.681373076,0.011602416,0.758999877,0.025421037,0.797670006,0.028255389,0.001162969,0.338975073,128,385.6,0.5963192,0.79,none
unknown,8.04976,5.37633,8.04976,1.04871,4064,0.6398,0.61008,Nd,0.696304516,0.012531525,0.770814364,0.024475379,0.808858625,0.030675504,0.001125541,0.364719785,256,409.2,0.55621636,0.85,none
unknown,5.02827,3.75595,5.01711,1.19222,875.252,0.516,0.432806,Cd,0.834445538,0.031270929,0.927788813,0.061891329,0.987381616,0.074217456,0.001529361,0.38126238,114,363.2,0.49676263,0.6625,strong
[Cu][Cu].[O-]C(=O)CCc1ccc(cc1)C[N]12CCC[N]3([Cu]42(Cl)[N](CC1)(CCC[N]4(CC3)Cc1ccc(cc1)CCC(=O)[O-])Cc1ccc(cc1)CCC(=O)[O-])Cc1ccc(cc1)CCC(=O)[O-],17.17781,11.88721,17.05494,0.554504,14654,0.7614,1.37312,Cu,0.986197405,0.065251184,1.043123016,0.12385302,1.091902099,0.117696361,0.001057047,0.670441079,756,259.9,0.7824446,0.796666667,weak
[O-]C(=O)C(=O)[O-].[Sc],3.36985,2.94067,3.34159,1.3921,405.848,0.5132,0.368652,Sc,0.84798237,0.012546568,0.910456591,0.01418426,0.971440786,0.008427085,0.001234584,0.477855459,39,395.5,0.8537402,0.24,weak
C1=C[C]2C(=c3c(=C2[C](c2ccncc2)c2ccncc2)cccc3)C=C1.[C]#N.[Cu].n1ccc(cc1)[C](C1=c2ccccc2=C2C1=CC=C[CH]2)c1ccncc1,4.51819,3.42821,4.51002,1.06374,1361.16,0.5166,0.485646,Cu,0.917150894,0.047199979,1.045263094,0.075777943,1.085259324,0.089436127,0.001681084,0.427511597,180,288.1,0.54132324,0.651071429,unknown
[Co].[O-]C(=O)c1ccc(cc1)C(=O)[O-].n1ccc(cc1)SSc1ccncc1,6.07664,5.29283,6.02808,1.00269,1689.37,0.5752,0.573656,Co,0.877768741,0.024451701,0.977826709,0.058300932,1.016941584,0.066131195,0.001391728,0.470407396,156,316.6,0.87855995,0.86,none
[Ni].[O-]C(=O)c1cccc(c1)C1=[N]=C(N=N1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].n1ccc(cc1)c1ccncc1,5.33173,4.44846,5.30987,1.28204,1313.74,0.492,0.383764,Ni,0.860145122,0.020337944,0.959531735,0.04496626,1.011060846,0.056043664,0.001509157,0.415374202,178,362.6,0.7562907,0.688226601,strong
[Mn].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)C(=O)[O-],16.00425,14.45637,15.99989,0.615226,10620.3,0.718,1.16705,Mn,0.921904028,0.044328224,1.038919984,0.067475871,1.100986916,0.079830966,0.001790829,0.393813532,572,434.2,0.7506434,0.79,strong
O=C(Nc1ccc(cc1)C(=O)[O-])Nc1ccc(cc1)C(=O)[O-].[Cu][Cu].n1ccc(cc1)c1ccncc1,11.37052,9.86802,11.37052,0.621353,6974.58,0.7416,1.19352,Cu,0.904039012,0.034844812,0.999753264,0.067369117,1.05709992,0.080780885,0.001530609,0.451250887,344,306.5,0.94341505,0.58936687,weak
Cc1cnccc1c1cccc(c1)C(=O)[O-].[Cu],7.13716,5.1592,7.13716,1.14452,1357.7,0.4794,0.418864,Cu,0.961252177,0.042437168,1.067649198,0.087074646,1.117101464,0.097237539,0.001558493,0.503195106,212,319.4,0.6175339,0.754282801,weak
Cl[Cu].[Cu][Cu].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cncnc1,6.99899,4.36761,6.13997,1.17634,1644.51,0.5732,0.487276,Cu,0.795612747,0.018182776,0.890522933,0.031134444,0.955879351,0.041659441,0.001602666,0.319738563,154,320.2,0.5974742,0.856319588,strong
CC1=NN=C([N]1)C.[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn],9.25518,5.85382,9.1939,0.953025,1856.08,0.6636,0.696309,Zn,0.837851041,0.018708235,0.949740584,0.029947469,1.029381567,0.030855277,0.001915305,0.268634227,130,355.3,0.8650241,0.727281106,weak
NC1=NN=C([N]1)N.[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn],9.4964,5.39515,9.4964,0.966907,1811.84,0.654,0.676384,Zn,0.802987988,0.021163486,0.915781925,0.036528334,0.959846594,0.045098623,0.001568586,0.34386705,122,331.1,0.70783556,0.737281106,weak
NC1=NN=C([N]1)N.[O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-].[O-]C(=O)c1cc(cc(c1)C1=N[N]N=N1)C(=O)[O-].[Zn],9.18995,6.02541,9.1809,0.934417,2064.31,0.6796,0.727298,Zn,0.796907271,0.020096003,0.908930455,0.037736947,0.954497988,0.042692568,0.001575907,0.335211062,130,315,0.6514553,0.748709677,weak
CC1=NN=C([N]1)C.[O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-].[Zn],8.59169,5.65808,8.59169,0.909021,2040.07,0.6564,0.722096,Zn,0.837610411,0.01953303,0.927953612,0.044634594,0.981520858,0.052758034,0.001439104,0.412008396,138,331.1,0.90800905,0.748709677,unknown
NC1=NN=C([N]1)N.[O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-].[Zn],5.34821,3.64058,5.34517,1.28059,1238.98,0.559,0.436518,Zn,0.802636535,0.019426005,0.913788759,0.036396653,0.960725495,0.042570209,0.00158089,0.339072237,130,394.2,0.8285486,0.867281106,strong
CC1=NN=C([N]1)C.[O-]C(=O)c1cc(cc(c1)C1=N[N]N=N1)C(=O)[O-].[Zn],9.45114,6.4791,9.44182,0.901398,4256.31,0.679,0.753275,Zn,0.83393155,0.01823184,0.920624971,0.04520758,0.977208345,0.050987396,0.001432768,0.409119509,276,316.3,0.9073887,0.798709677,weak
O=C(c1cccnc1)N[N][CH]c1cccnc1.[Cd].[O-]C(=O)c1cc(cc(c1)N(=O)=O)C(=O)[O-],5.0765,3.92433,4.95641,1.1485,895.561,0.5654,0.492293,Cd,0.824260293,0.023522705,0.93534289,0.039315421,0.990880727,0.051842622,0.001666204,0.33365645,92,299.2,0.9027989,0.760814685,strong
NC1=NC=NC2=NC=N[C]12.Nc1cc(ccc1c1ccc(cc1N)C(=O)[O-])C(=O)[O-].[Zn].[Zn][O]([Zn])([Zn])[Zn],13.36303,8.26092,13.36303,0.962116,8768.92,0.627,0.651688,Zn,0.862296582,0.030869348,0.97478063,0.05249248,1.022853282,0.065163465,0.001605567,0.391361708,732,344.4,0.96807337,0.715031516,weak
[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-].[Tb],6.46172,4.50656,6.46172,1.22059,1555.33,0.6308,0.516801,Tb,0.648056494,0.018002514,0.731340532,0.025364597,0.777993184,0.033988887,0.001299367,0.264351656,112,219,0.93018067,0.688888889,none
[Eu].[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-],6.47697,4.51275,6.47697,1.19567,1564.83,0.6314,0.528071,Eu,0.661998635,0.017659477,0.744574446,0.026125147,0.789686345,0.034234118,0.001276877,0.285179492,112,225.5,0.93352354,0.619388889,none
[Gd].[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-],6.46354,4.51401,6.46154,1.21247,1559.46,0.6306,0.520097,Gd,0.654241166,0.017490102,0.736317787,0.025321514,0.782414955,0.033946862,0.001281738,0.275716372,112,224.2,0.93329984,0.688888889,none
unknown,4.78781,2.672,4.78124,1.34974,1150.48,0.502,0.371924,Cd,0.790634402,0.022884096,0.879591487,0.04806409,0.942805609,0.060162084,0.001521712,0.338411277,152,343.1,0.66485786,0.71,weak
unknown,4.93802,3.05985,4.93802,1.54301,1187.73,0.52,0.337004,Cd,0.621356225,0.019234738,0.681481473,0.042261879,0.733180829,0.050386366,0.001118246,0.287286728,140,325.2,0.8620571,0.68,weak
[Cd][Cd].[O-]C(=O)c1cc(cc(c1)n1cnc2c1cccc2)C(=O)[O-],4.37729,2.47979,4.30342,1.3512,1024.53,0.5308,0.392835,Cd,0.745198423,0.023189361,0.841491003,0.034487572,0.89978033,0.048422892,0.001545819,0.287786578,120,397,0.5305484,0.68,weak
[O-]C(=O)c1ncc(nc1)C(=O)[O-].[Y],5.86101,5.26698,5.85189,1.25566,498.364,0.5574,0.44391,Y,0.757773593,0.00892142,0.846817443,0.017478163,0.899886991,0.021227177,0.001421134,0.337429115,44,370.4,0.79531205,0.34,superstrong_high_loading
[Gd].[O]P(=O)(C[NH](CP(=O)(O)[O])CP(=O)([O])[O])O.[O]P(=O)(C[NH](CP(=O)([O])O)CP(=O)([O])[O])O,3.01528,2.44659,2.89505,2.49094,416.749,0.3448,0.138421,Gd,0.673961317,0.013948889,0.750965602,0.016540806,0.792580147,0.017259936,0.001186188,0.324003119,104,443.8,0.8503121,0.7,superstrong_high_loading
[In].[O]c1c(Cl)c([O])c(c(c1[O])Cl)[O],8.43082,7.16561,8.43082,1.03046,953.94,0.696,0.675426,In,0.611638052,0.006431336,0.664214781,0.009319038,0.715156596,0.008281597,0.001035185,0.301354903,38,252.4,0.92439246,0.41,weak
[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Tb],6.88171,6.36573,6.88171,1.6218,2550.03,0.567,0.349611,Tb,0.574268188,0.014422473,0.637951962,0.023552007,0.675569384,0.02803498,0.001013012,0.274708993,228,455.9,0.90634704,0.778518519,unknown
Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Co][OH]([Co][OH]([Co])[Co])[Co],5.87708,3.64729,5.87708,1.62772,1816.09,0.4258,0.261594,Co,0.816951053,0.020753516,0.916168751,0.042137072,0.966857087,0.047742933,0.00149906,0.375321177,324,333.4,0.7652739,0.48,strong
unknown,9.42475,3.73491,9.42475,0.827768,1156.13,0.6094,0.736196,Ni,0.951151654,0.060347757,1.084344519,0.101869811,1.163323869,0.107909597,0.002121722,0.323670593,111,371.1,0.42222735,0.87,weak
unknown,22.95364,12.78292,22.95364,0.320875,84176.2,0.8648,2.69513,Cu,0.839395616,0.034324392,0.942942769,0.048647003,1.021618714,0.064965112,0.001822231,0.29687152,1728,324.8,0.7755945,0.4,weak
[Cu][Cu].[O-]C(=O)c1ccc2c(c1)c1cc(ccc1n2c1ccc(cc1)c1ccc(cc1)n1c2ccc(cc2c2c1ccc(c2)C(=O)[O-])C(=O)[O-])C(=O)[O-],22.78188,12.52223,22.78188,0.323188,83747.7,0.8666,2.68141,Cu,0.834127558,0.034840761,0.94127026,0.050485426,1.021802028,0.064449087,0.001876745,0.275539305,1728,323.8,0.76555246,0.4,weak
[Ni][Ni].[O-]C(=O)c1ccc2c(c1)c1cc(ccc1n2c1ccc(cc1)c1ccc(cc1)n1c2ccc(cc2c2c1ccc(c2)C(=O)[O-])C(=O)[O-])C(=O)[O-],22.80759,12.55712,22.80759,0.31856,83505.4,0.8624,2.70718,Ni,0.851437234,0.036035827,0.950611824,0.050081557,1.032815001,0.064077523,0.001813778,0.310132504,1728,346.5,0.70726633,0.42,weak
[O-]C(=O)c1ccc2c(c1)c1cc(ccc1n2c1ccc(cc1)c1ccc(cc1)n1c2ccc(cc2c2c1ccc(c2)C(=O)[O-])C(=O)[O-])C(=O)[O-].[Zn][Zn],22.41586,11.98152,22.41586,0.330726,81730.7,0.8614,2.60458,Zn,0.833055208,0.035376944,0.934991859,0.050308719,1.010088279,0.064978815,0.001770331,0.306429368,1728,370.7,0.62227875,0.48,weak
[Cu][Cu].[O-]C(=O)c1ccc2c(c1)c1cc(ccc1n2c1ccc(cc1)c1ccc(cc1)n1c2ccc(cc2c2c1ccc(c2)C(=O)[O-])C(=O)[O-])C(=O)[O-],23.7754,13.16055,23.77539,0.312648,86850.8,0.8694,2.78077,Cu,0.836532919,0.034827392,0.935886397,0.048690982,1.020800638,0.064532465,0.001842677,0.286136302,1728,322.4,0.79462373,0.4,weak
[Co][Co].[O-]C(=O)c1ccc2c(c1)c1cc(ccc1n2c1ccc(cc1)c1ccc(cc1)n1c2ccc(cc2c2c1ccc(c2)C(=O)[O-])C(=O)[O-])C(=O)[O-],22.51791,11.98939,22.51791,0.323808,82145.7,0.8618,2.66145,Co,0.84943941,0.035955427,0.950810018,0.05087441,1.02828481,0.065429742,0.001788454,0.316885842,1728,339,0.6888085,0.35,none
[Mn][Mn].[O-]C(=O)c1ccc2c(c1)c1cc(ccc1n2c1ccc(cc1)c1ccc(cc1)n1c2ccc(cc2c2c1ccc(c2)C(=O)[O-])C(=O)[O-])C(=O)[O-],22.45958,11.94743,22.45958,0.317955,82448.9,0.8582,2.69912,Mn,0.864330305,0.036102877,0.969190742,0.050436227,1.049196413,0.065665044,0.001848661,0.313874441,1728,385.8,0.6519281,0.48,none
[Fe][Fe].[O-]C(=O)c1ccc2c(c1)c1cc(ccc1n2c1ccc(cc1)c1ccc(cc1)n1c2ccc(cc2c2c1ccc(c2)C(=O)[O-])C(=O)[O-])C(=O)[O-],22.61205,12.09156,22.61205,0.319335,82632.2,0.8618,2.69874,Fe,0.85869241,0.035029374,0.963589261,0.048809413,1.044406357,0.06450334,0.001857139,0.305563863,1728,349.4,0.67233086,0.38,weak
[Cu][Cu].[O-]C(=O)c1ccc2c(c1)c1cc(ccc1n2c1ccc(cc1)c1ccc(cc1)n1c2ccc(cc2c2c1ccc(c2)C(=O)[O-])C(=O)[O-])C(=O)[O-],22.56317,12.18847,22.56317,0.328096,82342.5,0.865,2.63642,Cu,0.834564853,0.034988268,0.929764482,0.048277255,1.01106635,0.06431711,0.001765015,0.307376653,1728,321.3,0.7477399,0.4,weak
unknown,7.30191,5.61883,7.30191,1.13982,838.273,0.556,0.487796,Zn,0.870911124,0.027120207,0.993653755,0.038278496,1.056713874,0.050035154,0.001858027,0.32344996,95,408.4,0.22895446,0.73,weak
unknown,3.83942,2.94735,3.83942,2.24294,224.997,0.3988,0.177803,Ho,0.639910333,0.020247921,0.712514207,0.02298755,0.760104635,0.027418049,0.001201943,0.283496335,44,277.2,0.537068,0.69,superstrong_high_loading
unknown,3.74645,2.88419,3.74645,2.34369,216.88,0.3914,0.167002,Tb,0.630591959,0.019434535,0.695219399,0.023198678,0.741397338,0.026102177,0.001108054,0.301250738,44,276.4,0.59028196,0.58,superstrong_high_loading
unknown,3.74735,2.89821,3.74735,2.344,219.621,0.3964,0.169112,Tm,0.627813526,0.021119777,0.695295597,0.024051897,0.741773782,0.027015581,0.001139603,0.289433406,44,276.3,0.59121406,0.58,superstrong_high_loading
unknown,3.83009,2.8364,3.83009,2.40909,204.295,0.372,0.154415,Tm,0.643268918,0.02279173,0.713600903,0.027256621,0.75880012,0.031532832,0.001155312,0.300864106,47,262.4,0.49263072,0.62,superstrong_high_loading
unknown,3.84937,2.92658,3.84937,2.38678,201.472,0.3656,0.153177,Er,0.651185693,0.022566167,0.721364653,0.027662306,0.766918559,0.031578868,0.001157329,0.308091271,47,255.8,0.50202686,0.63,superstrong_high_loading
unknown,3.83265,2.90843,3.83265,2.30192,220.9,0.3956,0.171857,Ho,0.635649805,0.020114549,0.70418162,0.023582619,0.751585684,0.02690974,0.001159359,0.291363464,44,269.6,0.5638654,0.69,superstrong_high_loading
unknown,3.80499,2.9187,3.80499,2.30749,218.872,0.3954,0.171355,Dy,0.63304844,0.020786541,0.702483895,0.023762554,0.752757415,0.027413814,0.00119709,0.277115173,44,266.3,0.5560881,0.69,superstrong_high_loading
unknown,3.82572,2.89643,3.82572,2.33605,217.212,0.3924,0.167976,Er,0.630700359,0.019790388,0.697633605,0.023583068,0.744844656,0.027375426,0.001141443,0.291554502,44,272.8,0.57711685,0.64,superstrong_high_loading
unknown,3.83232,2.97496,3.8165,2.2759,225.166,0.4012,0.176282,Dy,0.634957259,0.020926685,0.708557723,0.022613534,0.756490665,0.027192962,0.001215334,0.27463496,44,265.9,0.56113493,0.69,superstrong_high_loading
unknown,3.87424,2.9635,3.87424,2.24501,227.833,0.4042,0.180044,Tb,0.642979554,0.020618393,0.715079916,0.024073718,0.765163432,0.026714518,0.001221839,0.280097394,44,277.4,0.5379072,0.69,superstrong_high_loading
[Cd].[O-]C(=O)c1ccc(cc1)C1=C(N[C](N1)c1ccc(cc1)[C]1NC(=C(N1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],6.15209,5.43901,6.15209,1.06943,1368.22,0.55,0.514293,Cd,0.870936509,0.030242628,1.003447558,0.050745527,1.059684745,0.066837743,0.001887482,0.31740411,154,332.6,0.7113408,0.34,strong
[O-]C(=O)c1ccc(cc1)c1nc(c2ccc(cc2)C(=O)[O-])c(nc1c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[OH]12[Hf]34[OH]5[Hf]62[OH]2[Hf]71[OH]4[Hf]14[OH]3[Hf]35[OH]6[Hf]2([OH]71)[OH]43,9.19603,6.9911,9.0482,1.13298,4760.33,0.7,0.61784,Hf,0.575636192,0.02007292,0.632615703,0.032326482,0.672783537,0.037159734,0.000971473,0.286996104,276,496.7,0.7929859,0.73,strong
[Mn][OH2][Mn][OH2][Mn].[O-]C(=O)c1ccc(cc1)c1cc(c2ccc(cc2)C(=O)[O-])c2c3c1ccc1c3c(cc2)c(cc1c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],5.9032,5.31291,5.81174,1.03368,1374.18,0.549,0.531111,Mn,0.916729862,0.032656107,1.033336895,0.065352838,1.087673746,0.078569773,0.001709439,0.414276575,157,402.8,0.60619766,0.703076923,strong
[Eu][Eu].[O-]C(=O)c1c(F)c(F)c(c(c1F)F)C(=O)[O-],3.56221,2.92578,3.56221,1.91618,817.397,0.3436,0.179315,Eu,0.719285057,0.013335542,0.805933489,0.028379323,0.864997281,0.031443587,0.001457122,0.286745824,188,355.3,0.881459,0.77962963,none
